user_id,watch_instance_id,watched_at,video_id,duration,watched_duration
262932,26123553,2021-07-11 10:38:56.457658+00:00,5861,666,666
262932,26124408,2021-07-11 10:54:22.463874+00:00,5862,691,6
262932,26204162,2021-07-12 18:19:34.184101+00:00,5864,938,938
262932,26204955,2021-07-12 18:42:40.824757+00:00,5865,912,912
262932,26205444,2021-07-12 19:04:45.743447+00:00,5866,842,841
262932,26203347,2021-07-12 17:59:41.967243+00:00,5863,672,672
263307,26129830,2021-07-11 12:49:32.236639+00:00,44763,1152,2
263307,26129838,2021-07-11 12:49:36.989517+00:00,44988,3751,0
263307,26132105,2021-07-11 13:34:14.192553+00:00,30992,1352,1
265007,26178332,2021-07-12 11:16:33.340971+00:00,37403,1906,0
265007,26228658,2021-07-13 08:34:24.809936+00:00,28932,2487,0
265007,26132238,2021-07-11 13:37:13.625419+00:00,37776,787,787
265007,26178326,2021-07-12 11:16:29.493542+00:00,37060,1702,14
265007,26140635,2021-07-11 16:10:57.652105+00:00,37059,733,733
265007,26178625,2021-07-12 11:21:39.375720+00:00,38277,1202,87
265007,26180948,2021-07-12 12:02:48.122626+00:00,45085,1756,13
265007,26229505,2021-07-13 08:48:45.940003+00:00,38169,1652,17
265007,26823054,2021-07-23 11:35:44.258266+00:00,38170,1722,13
265033,26133362,2021-07-11 13:58:42.633325+00:00,22248,569,5
265033,26132984,2021-07-11 13:51:28.241126+00:00,22246,813,4
265033,26133330,2021-07-11 13:58:15.961261+00:00,22247,389,0
265188,27060313,2021-07-27 14:45:35.678555+00:00,5866,842,390
265188,26143179,2021-07-11 16:58:35.607100+00:00,31594,1177,4
265188,26146092,2021-07-11 17:57:04.482310+00:00,5861,666,666
265188,26178456,2021-07-12 11:18:39.105061+00:00,5862,691,691
265188,26232138,2021-07-13 09:27:53.067988+00:00,5863,672,672
265188,26234595,2021-07-13 09:59:21.476652+00:00,5864,938,938
265188,26650450,2021-07-20 11:42:13.695387+00:00,5865,912,912
265188,26143078,2021-07-11 16:56:33.295623+00:00,31593,1032,1032
265188,26138286,2021-07-11 15:24:26.515658+00:00,31592,369,89
265984,26423869,2021-07-16 13:20:36.232293+00:00,13045,1304,1304
265984,26423893,2021-07-16 13:20:55.964907+00:00,13046,1201,0
266342,26837660,2021-07-23 15:38:23.587909+00:00,5865,912,912
266342,27065757,2021-07-27 16:06:21.131294+00:00,5867,690,275
266342,27067417,2021-07-27 16:31:16.903629+00:00,5868,651,651
266342,26835559,2021-07-23 15:07:06.398729+00:00,5864,938,938
266342,26141763,2021-07-11 16:31:10.028887+00:00,31593,1032,1032
266342,26160746,2021-07-12 06:09:17.469695+00:00,31594,1177,15
266342,26721712,2021-07-21 15:15:10.851394+00:00,24108,0,0
266342,26722113,2021-07-21 15:22:00.052181+00:00,5861,666,666
266342,26725764,2021-07-21 16:22:19.571871+00:00,5862,691,691
266342,26727249,2021-07-21 16:46:38.157647+00:00,5863,672,672
266342,26140821,2021-07-11 16:13:51.116910+00:00,31592,369,9
266342,27059863,2021-07-27 14:38:14.794395+00:00,5866,842,842
267252,26333399,2021-07-15 03:51:40.526509+00:00,5862,691,691
267252,26446773,2021-07-17 01:57:52.386852+00:00,5863,672,672
267252,26795106,2021-07-23 01:58:36.075661+00:00,5865,912,45
267252,26964326,2021-07-26 03:23:42.152234+00:00,5867,690,690
267252,27082535,2021-07-28 03:38:40.841108+00:00,5868,651,651
267252,26200198,2021-07-12 17:04:40.174364+00:00,24108,0,163
267252,26202056,2021-07-12 17:34:45.943290+00:00,5859,369,369
267252,26210915,2021-07-13 02:39:53.956584+00:00,5861,666,666
267252,26203023,2021-07-12 17:52:28.773784+00:00,5860,1032,1032
267252,26623329,2021-07-20 03:22:39.054777+00:00,5864,938,938
267252,26148090,2021-07-11 19:11:04.058301+00:00,31593,1032,28
267252,26148079,2021-07-11 19:10:33.896943+00:00,31592,369,26
267252,26963983,2021-07-26 03:11:27.253921+00:00,5866,842,842
267883,26151295,2021-07-12 01:54:07.444562+00:00,19991,784,2
267883,26151316,2021-07-12 01:55:05.506649+00:00,19990,596,46
267883,26151511,2021-07-12 02:03:38.038803+00:00,31022,371,145
267883,26151862,2021-07-12 02:17:57.863194+00:00,41702,1559,29
267883,26151900,2021-07-12 02:19:11.810356+00:00,33917,250,54
268343,26153301,2021-07-12 03:10:17.611914+00:00,20451,1950,25
269402,27002831,2021-07-26 15:23:21.405188+00:00,1776,810,29
269402,27084371,2021-07-28 04:26:31.647632+00:00,1777,729,729
269402,26459729,2021-07-17 06:41:26.354263+00:00,1471,864,864
269402,27084842,2021-07-28 04:37:29.896525+00:00,1778,612,612
269402,26532177,2021-07-18 10:57:06.512899+00:00,1518,867,867
