user_id,attempt_id,started_at,status,no_of_questions,question_attempted
108107,52322759,None,CREATE,5,0
6,52325303,2021-06-21 07:14:49.414779+00:00,COMPLETE,10,10
6,52325561,None,COMPLETE,10,0
105297,52325855,2021-06-21 07:21:56.952724+00:00,COMPLETE,10,10
105297,52325926,2021-06-21 07:22:37.933457+00:00,COMPLETE,10,10
105297,52325989,2021-06-21 07:23:23.957703+00:00,COMPLETE,10,10
105297,52326034,None,CREATE,10,0
34271,52326051,2021-06-21 07:24:15.846451+00:00,COMPLETE,15,9
34271,52326277,2021-07-28 06:54:42.955216+00:00,COMPLETE,15,15
7102,52328583,2021-06-21 07:59:16.955324+00:00,COMPLETE,6,6
7102,52328721,None,CREATE,6,0
2610,52329446,2021-06-21 08:13:24.738724+00:00,COMPLETE,20,20
69406,52331138,None,CREATE,20,0
2610,52331139,2021-06-21 08:39:47.875584+00:00,COMPLETE,20,20
128155,52331659,2021-06-21 08:48:34.929507+00:00,PAUSE,40,40
2610,52331766,2021-06-21 08:50:32.384008+00:00,COMPLETE,60,60
21068,52331804,2021-06-21 08:50:24.784280+00:00,COMPLETE,5,5
97285,52332336,None,CREATE,10,0
97285,52332342,None,CREATE,10,0
97285,52332359,2021-06-21 08:59:59.762421+00:00,COMPLETE,10,10
97285,52332644,None,CREATE,10,0
97285,52332805,None,PAUSE,10,10
97285,52332844,None,PAUSE,10,10
97285,52333071,2021-06-21 09:10:58.748192+00:00,PAUSE,200,200
97285,52333110,None,PAUSE,200,200
97285,52333136,None,PAUSE,200,200
97285,52333193,None,PAUSE,200,200
43158,52334305,2021-06-21 09:29:42.665148+00:00,COMPLETE,6,6
28531,52334691,2021-06-21 09:34:29.960852+00:00,COMPLETE,20,20
3664,52335339,2021-06-21 09:41:14.549038+00:00,COMPLETE,100,4
28531,52335418,None,CREATE,20,0
124096,52339715,2021-06-21 10:31:54.494504+00:00,COMPLETE,10,10
124096,52339889,2021-06-21 10:33:46.001350+00:00,COMPLETE,10,10
124096,52339961,None,CREATE,10,0
111882,52340260,2021-07-25 17:24:52.698426+00:00,COMPLETE,15,15
111882,52340428,2021-07-22 18:19:22.921654+00:00,COMPLETE,10,10
124096,52340954,2021-06-21 10:47:02.757305+00:00,COMPLETE,10,10
111952,52340976,2021-06-21 10:47:29.721788+00:00,COMPLETE,10,7
124096,52341072,2021-06-22 03:52:01.871104+00:00,COMPLETE,10,10
111952,52341546,None,CREATE,10,0
111952,52341584,2021-06-21 10:56:29.833300+00:00,COMPLETE,10,7
111952,52341893,None,CREATE,10,0
81042,52342422,2021-06-21 11:08:09.709658+00:00,COMPLETE,20,20
81042,52343406,2021-06-21 11:23:06.828187+00:00,COMPLETE,20,20
111882,52344205,None,CREATE,25,0
111882,52344340,2021-07-22 17:48:40.354395+00:00,COMPLETE,10,10
118804,52346213,2021-06-21 12:10:12.724572+00:00,COMPLETE,10,10
118804,52346335,None,CREATE,10,0
121791,52346898,2021-06-21 12:22:48.708877+00:00,COMPLETE,20,20
105297,52348033,2021-06-22 11:17:18.960598+00:00,COMPLETE,10,10
3664,52348388,None,CREATE,100,0
121791,52348389,2021-06-21 12:46:05.980841+00:00,COMPLETE,20,20
