user_id,track_slug,subscription_date
36338,Spoken_eng_hindi,2021-06-09
36414,APPSC,2021-06-09
38173,GATE_Civil,2021-06-09
38173,GATE_Electronics,2021-06-18
38599,Spoken_eng_hindi,2021-06-09
38705,TSPSC,2021-06-14
38705,spoken-english,2021-06-14
38705,BANK-INS,2021-06-09
38705,APPSC,2021-06-14
38705,rrb,2021-06-14
39414,TNPSC,2021-06-09
39551,kerala-psc,2021-06-10
39551,KPSC_Driver,2021-06-09
39651,spoken-english,2021-06-14
39651,Eng_Inver_Coc,2021-06-09
40853,kerala-psc,2021-06-10
40853,Civil_Tech,2021-06-09
41094,TNPSC,2021-06-09
41243,spoken-english,2021-06-10
41243,TNPSC,2021-06-09
41527,BANK-INS,2021-06-09
41706,kerala-psc,2021-06-09
41928,TNPSC,2021-06-09
42048,Spoken_eng_hindi,2021-06-09
42095,spoken-english,2021-06-09
43004,TNPSC,2021-06-10
43158,kerala-psc,2021-06-10
43511,Spoken_eng_hindi,2021-06-10
43836,PET,2021-06-10
45214,spoken-english,2021-06-10
45214,Anb_eng,2021-06-11
45750,BANK-INS,2021-06-10
45989,Spoken_eng_hindi,2021-06-10
46198,PET,2021-06-14
46198,rrb,2021-06-10
46198,Tet,2021-06-14
46309,Eng_Inver_Coc,2021-06-10
46558,Spoken_eng_hindi,2021-06-10
46605,kerala-psc,2021-06-10
46605,GATE_Civil,2021-06-11
46605,Civil_Tech,2021-06-11
46821,TNPSC,2021-06-10
46976,TNPSC,2021-06-10
46976,Anb_eng,2021-06-10
46976,ssc,2021-06-10
47744,Spoken_eng_hindi,2021-06-10
47954,Spoken_eng_hindi,2021-06-10
47998,kerala-psc,2021-06-10
48295,TNPSC,2021-06-10
48413,TNPSC,2021-06-10
48595,Spoken_eng_hindi,2021-06-10
49995,spoken-english,2021-06-10
50137,TNPSC,2021-06-10
50546,ssc,2021-07-04
51345,spoken-english,2021-06-11
52185,Spoken_eng_hindi,2021-06-11
52416,K_HSA,2021-06-11
52425,GATE_Civil,2021-06-11
52836,Apti_ess,2021-06-11
53372,Eng_With_Awal,2021-06-11
53782,spoken-english,2021-06-11
55112,K_HSA,2021-06-11
55281,Spoken_eng_hindi,2021-06-11
55902,GATE-Electrical,2021-06-11
55902,Apti_ess,2021-06-11
56406,Police_Exams_Special,2021-07-09
56406,ssc,2021-06-11
56741,kerala-psc,2021-06-11
56741,OP_KWA,2021-07-01
56741,KPSC_Driver,2021-06-11
56741,Mech_Tech,2021-06-12
57884,Spoken_eng_hindi,2021-06-11
57927,K_HSA,2021-06-11
59886,Group_2_2A,2021-07-09
59886,TNPSC,2021-06-12
59886,GATE-Electrical,2021-07-09
60166,BANK-INS,2021-06-12
60433,spoken-english,2021-06-12
60441,Spoken_eng_hindi,2021-06-12
60557,TNPSC,2021-06-12
60886,TNPSC,2021-06-12
60886,GATE_Civil,2021-06-12
60964,Spoken_eng_hindi,2021-06-12
60989,K_HSA,2021-06-12
61006,Apti_ess,2021-06-12
61010,Public_Speaking,2021-06-12
61054,Spoken_eng_hindi,2021-06-12
61429,spoken-english,2021-06-12
61783,Eng_Inver_Coc,2021-06-12
61874,cet,2021-06-12
61874,GATE_Civil,2021-07-08
61874,Spoken_eng_hindi,2021-06-12
61952,ssc,2021-06-12
62123,PCB_Tech,2021-06-17
62123,kerala-psc,2021-06-19
62123,Eng_Inver_Coc,2021-06-12
62316,kerala-psc,2021-06-12
62316,KPSC_Driver,2021-06-29
62368,Spoken_eng_hindi,2021-06-12
63137,GATE_Civil,2021-06-12
63154,Apti_ess,2021-06-12
63372,Eng_Inver_Coc,2021-06-12
63748,Spoken_eng_hindi,2021-06-12
66108,spoken-english,2021-06-12
66547,eng_car_success,2021-06-12
68264,Eng_Inver_Coc,2021-06-13
68288,spoken-english,2021-06-13
68288,SE_Junior,2021-06-17
68292,Spoken_eng_hindi,2021-06-13
68866,APPSC,2021-06-13
69176,spoken-english,2021-06-20
69176,Tet,2021-06-13
69238,spoken-english,2021-06-13
69406,K_HSA,2021-06-13
69508,kerala-psc,2021-06-13
69676,kerala-psc,2021-06-13
69676,OP_KWA,2021-06-26
69676,Mech_Tech,2021-06-13
70041,kerala-psc,2021-06-13
72073,spoken-english,2021-06-13
72484,rrb,2021-06-15
72616,TSPSC,2021-06-13
72616,Group_1,2021-06-13
72616,eng_car_success,2021-06-16
72616,spoken-english,2021-06-15
72616,APPSC,2021-06-30
72616,Youtube_telugu,2021-06-14
72616,rrb,2021-06-30
72616,Tet,2021-06-16
73700,EEE,2021-06-16
73700,Eng_Inver_Coc,2021-06-13
74229,BANK-INS,2021-06-13
75090,kerala-psc,2021-06-13
77037,KPSC_Driver,2021-06-14
77261,Spoken_eng_hindi,2021-06-14
77561,Spoken_eng_hindi,2021-06-14
78096,spoken-english,2021-06-14
78409,spoken-english,2021-06-17
78409,TNPSC,2021-06-14
78626,eng_car_success,2021-06-14
78626,spoken-english,2021-06-14
78626,Public_Speaking,2021-06-14
78626,GATE_Electronics,2021-06-14
78626,Fin_Acc,2021-06-14
78626,Apti_ess,2021-06-15
79702,Spoken_eng_hindi,2021-06-14
79713,spoken-english,2021-07-02
79713,kerala-psc,2021-06-16
79713,Digi_Mark,2021-06-16
79713,Apti_ess,2021-06-14
79713,karnataka-psc,2021-07-23
79799,kerala-psc,2021-06-21
79799,KPSC_Driver,2021-06-14
80150,spoken-english,2021-06-14
80150,ssc,2021-06-14
80559,Spoken_eng_hindi,2021-06-14
80603,Spoken_eng_hindi,2021-06-14
81042,Spoken_eng_hindi,2021-06-14
81042,STUH,2021-06-14
81990,kerala-psc,2021-06-14
81990,Eng_Inver_Coc,2021-06-14
82343,kerala-psc,2021-06-14
82343,Civil_Tech,2021-06-14
82343,Mech_Tech,2021-06-30
83016,cet,2021-06-14
83016,Spoken_eng_hindi,2021-06-14
83029,Spoken_eng_hindi,2021-06-14
86603,Eng_Inver_Coc,2021-06-15
87068,Spoken_eng_hindi,2021-08-02
87138,Spoken_eng_hindi,2021-06-15
87284,rrb,2021-07-06
87284,Tet,2021-06-15
87884,kerala-psc,2021-06-23
87884,OP_KWA,2021-06-23
87884,Civil_Tech,2021-06-15
88653,Spoken_eng_hindi,2021-06-15
88846,kerala-psc,2021-06-15
89201,Spoken_eng_hindi,2021-06-15
89213,Civil_Tech,2021-06-15
89386,Spoken_eng_hindi,2021-06-15
89497,Anb_eng,2021-06-15
89497,SE_Junior,2021-06-16
89858,Spoken_eng_hindi,2021-06-15
90187,Eng_Inver_Coc,2021-06-15
90705,kerala-psc,2021-06-24
90705,Civil_Tech,2021-06-24
90705,Staff_Nurse,2021-06-24
90782,spoken-english,2021-06-16
91086,Spoken_eng_hindi,2021-06-16
91932,spoken-english,2021-06-19
91932,kerala-psc,2021-07-03
91932,Eng_Inver_Coc,2021-06-16
92058,kerala-psc,2021-06-16
92058,NET,2021-06-16
92058,ssc,2021-06-16
92432,Spoken_eng_hindi,2021-06-16
92982,Spoken_eng_hindi,2021-06-16
93475,BANK-INS,2021-06-16
93475,cet,2021-06-16
93774,ssc,2021-06-16
94673,spoken-english,2021-06-16
94673,kerala-psc,2021-06-25
94673,Eng_Inver_Coc,2021-06-25
95712,Spoken_eng_hindi,2021-06-16
96172,Spoken_eng_hindi,2021-06-16
96308,spoken-english,2021-06-16
96798,spoken-english,2021-06-22
96798,KTET,2021-06-16
96798,ssc,2021-06-16
96887,Spoken_eng_hindi,2021-06-16
97220,Spoken_eng_hindi,2021-06-16
97285,Group_2_2A,2021-07-08
97285,TNPSC,2021-06-16
98718,BANK-INS,2021-06-16
98764,Public_Speaking,2021-06-16
99595,Spoken_eng_hindi,2021-06-17
100171,kerala-psc,2021-06-17
101988,kerala-psc,2021-06-17
101988,KPSC_Driver,2021-06-17
102410,Spoken_eng_hindi,2021-06-17
102498,spoken-english,2021-06-17
103374,kerala-psc,2021-06-17
103915,Anb_eng,2021-06-17
104394,Spoken_eng_hindi,2021-06-17
104609,HCA_Kerala,2021-07-17
104609,Spoken_eng_hindi,2021-06-17
104609,Police_Exams_Special,2021-07-14
104666,Civil_Tech,2021-06-17
104979,kerala-psc,2021-06-17
104979,OP_KWA,2021-06-18
105225,Spoken_eng_hindi,2021-06-17
105297,Spoken_eng_hindi,2021-06-17
105377,kerala-psc,2021-06-20
105377,Staff_Nurse,2021-06-17
106048,kerala-psc,2021-06-17
106343,BANK-INS,2021-06-17
106394,Quant_Easy,2021-06-17
106598,Spoken_eng_hindi,2021-06-17
106598,DSSSB,2021-06-19
106598,ssc,2021-06-18
106711,TNPSC,2021-06-18
106963,Spoken_eng_hindi,2021-06-18
108107,TNPSC,2021-06-18
108107,Apti_ess,2021-06-18
108778,BANK-INS,2021-06-18
108778,ssc,2021-06-18
108923,kerala-psc,2021-06-18
110434,Spoken_eng_hindi,2021-06-18
110586,Spoken_eng_hindi,2021-06-18
110896,spoken-english,2021-06-18
111537,kerala-psc,2021-06-18
111537,Civil_Tech,2021-06-18
111537,Mech_Tech,2021-07-02
111721,Spoken_eng_hindi,2021-06-18
111721,Apti_ess,2021-06-20
111765,PCB_Tech,2021-06-28
111765,spoken-english,2021-06-23
111765,BANK-INS,2021-06-28
111765,kerala-psc,2021-06-18
111765,OP_KWA,2021-06-28
111765,MPGOVT,2021-07-12
111765,VIDEO-TEST,2021-06-23
111765,KPSC_Driver,2021-06-22
111765,EEE,2021-06-28
111765,ENTRI_GOLD,2021-07-02
111765,Stock_mar,2021-07-12
111765,Computer_Tech,2021-06-28
111765,GATE_Civil,2021-06-28
111765,Civil_Tech,2021-06-28
111765,GATE_Electronics,2021-06-28
111765,GATE_Mechanical,2021-06-28
111765,Staff_Nurse,2021-06-28
111765,Digi_Mark,2021-06-28
111765,Mech_Tech,2021-06-28
111765,GATE-Electrical,2021-06-28
111765,UPGOVT,2021-07-19
111765,Eng_Inver_Coc,2021-06-28
111765,K_HSA,2021-06-28
111765,Kerala_AS,2021-06-28
111765,KTET,2021-06-28
111765,rrb,2021-06-25
111765,EC_Tech,2021-06-28
111765,Video- Test 2,2021-06-28
111765,Apti_ess,2021-06-28
111765,NET,2021-06-28
111765,ssc,2021-06-23
