user_uid,date_joined,date_of_first_purhcase
392955,2021-07-30,
393071,2021-07-30,2021-07-30
393962,2021-07-31,
394171,2021-07-31,
394493,2021-07-31,2021-07-31
394501,2021-07-31,2021-07-30
394654,2021-07-31,2021-07-31
394742,2021-07-31,2021-07-31
394825,2021-07-31,2021-07-31
394902,2021-07-31,
395084,2021-07-31,
395414,2021-07-31,2021-08-01
395533,2021-07-31,2021-07-30
395756,2021-07-31,2021-07-30
395861,2021-07-31,
396283,2021-07-31,2021-07-31
396335,2021-07-31,2021-07-31
396522,2021-08-01,2021-07-31
396772,2021-08-01,
397309,2021-08-01,2021-08-01
398867,2021-08-01,
399176,2021-08-01,
399226,2021-08-01,2021-08-01
399256,2021-08-01,2021-08-01
399259,2021-08-01,2021-08-01
399353,2021-08-01,2021-08-01
400889,2021-08-02,
400920,2021-08-02,
401567,2021-08-02,
402242,2021-08-02,
402287,2021-08-02,
402379,2021-08-02,
402425,2021-08-02,2021-08-02
402595,2021-08-02,
402741,2021-08-02,
403080,2021-08-02,2021-08-03
403486,2021-08-02,
404095,2021-08-02,2021-08-01
404277,2021-08-02,2021-08-02
404290,2021-08-02,
