user_uid,date_joined,date_of_first_purhcase
78626,2021-06-14,
79702,2021-06-14,2021-06-14
79713,2021-06-14,2021-07-01
79799,2021-06-14,2021-06-21
80150,2021-06-14,
80559,2021-06-14,2021-06-19
80603,2021-06-14,2021-07-19
81042,2021-06-14,2021-06-15
81990,2021-06-14,2021-06-15
82343,2021-06-14,2021-06-29
83016,2021-06-14,
83029,2021-06-14,2021-06-14
85028,2021-06-15,
86603,2021-06-15,2021-06-16
87068,2021-06-15,2021-08-02
87138,2021-06-15,2021-06-15
87284,2021-06-15,2021-07-07
87884,2021-06-15,2021-06-22
88653,2021-06-15,2021-06-15
88846,2021-06-15,
89201,2021-06-15,2021-06-15
89213,2021-06-15,2021-06-14
89386,2021-06-15,2021-06-15
89497,2021-06-15,
89858,2021-06-15,2021-06-15
90187,2021-06-15,2021-06-15
90705,2021-06-16,
90782,2021-06-16,
91086,2021-06-16,2021-06-16
91932,2021-06-16,2021-06-15
92058,2021-06-16,2021-06-16
92432,2021-06-16,2021-06-22
92982,2021-06-16,
93475,2021-06-16,
93774,2021-06-16,
94673,2021-06-16,2021-06-15
95712,2021-06-16,2021-06-16
96172,2021-06-16,2021-06-16
96308,2021-06-16,
96798,2021-06-16,
96887,2021-06-16,2021-06-15
97220,2021-06-16,2021-06-19
97285,2021-06-16,2021-06-20
98718,2021-06-16,2021-07-17
98764,2021-06-16,
99595,2021-06-17,2021-06-18
100171,2021-06-17,2021-07-08
101988,2021-06-17,
102410,2021-06-17,2021-06-17
102498,2021-06-17,
103374,2021-06-17,2021-07-19
103915,2021-06-17,
104394,2021-06-17,2021-06-18
104609,2021-06-17,2021-06-25
104666,2021-06-17,
104979,2021-06-17,2021-06-17
105225,2021-06-17,2021-06-17
105297,2021-06-17,2021-06-17
105377,2021-06-17,2021-06-18
106048,2021-06-17,
106343,2021-06-17,2021-06-23
106394,2021-06-17,
106598,2021-06-17,
106711,2021-06-18,2021-06-17
106963,2021-06-18,2021-06-18
108107,2021-06-18,2021-06-18
108778,2021-06-18,
108923,2021-06-18,
110434,2021-06-18,2021-06-18
110586,2021-06-18,2021-06-18
110896,2021-06-18,
111537,2021-06-18,2021-07-01
111721,2021-06-18,2021-06-19
111765,2021-06-18,2021-06-22
111882,2021-06-18,2021-06-26
111952,2021-06-18,2021-06-21
112250,2021-06-18,2021-06-18
113055,2021-06-18,2021-06-21
113340,2021-06-18,2021-06-18
114837,2021-06-18,2021-07-10
115622,2021-06-19,
115705,2021-06-19,
116092,2021-06-19,2021-06-19
117520,2021-06-19,2021-06-19
118804,2021-06-19,2021-06-23
120235,2021-06-19,
120725,2021-06-19,2021-06-28
121311,2021-06-19,2021-06-19
121434,2021-06-19,2021-06-19
121538,2021-06-19,2021-06-19
121791,2021-06-19,2021-06-18
121949,2021-06-19,
122225,2021-06-19,
122886,2021-06-20,2021-06-23
123027,2021-06-20,2021-07-12
123854,2021-06-20,2021-06-20
124096,2021-06-20,2021-06-21
124499,2021-06-20,
124508,2021-06-20,
125187,2021-06-20,
126073,2021-06-20,
126290,2021-06-20,
126766,2021-06-20,
127049,2021-06-20,
127675,2021-06-20,2021-06-25
127945,2021-06-20,
128150,2021-06-20,2021-07-20
128155,2021-06-20,2021-06-25
128927,2021-06-20,
129193,2021-06-20,2021-06-20
129363,2021-06-20,
129707,2021-06-20,2021-06-29
129986,2021-06-20,2021-07-09
130203,2021-06-21,
131167,2021-06-21,
132110,2021-06-21,
132548,2021-06-21,
134461,2021-06-21,
134886,2021-06-21,2021-06-25
135474,2021-06-21,
135754,2021-06-21,
135896,2021-06-21,2021-06-21
136202,2021-06-21,2021-06-25
136592,2021-06-21,2021-06-21
136944,2021-06-22,2021-07-04
136976,2021-06-22,
137006,2021-06-22,
137417,2021-06-22,
137700,2021-06-22,
138201,2021-06-22,
138440,2021-06-22,2021-06-30
139408,2021-06-22,2021-06-27
139721,2021-06-22,2021-06-22
140453,2021-06-22,2021-06-24
140697,2021-06-22,2021-06-21
141215,2021-06-22,2021-07-16
141298,2021-06-22,2021-06-21
141525,2021-06-22,2021-06-26
141591,2021-06-22,
141836,2021-06-22,2021-06-22
141844,2021-06-22,2021-06-25
142234,2021-06-22,2021-06-22
142315,2021-06-22,2021-06-24
142885,2021-06-22,2021-06-22
144412,2021-06-23,2021-07-02
144649,2021-06-23,2021-06-23
144826,2021-06-23,2021-06-27
145199,2021-06-23,
145829,2021-06-23,2021-06-23
